ligname	pdbname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	pb_tot_avg	pb_tot_se	gb_tot_avg	gb_tot_se
g9	g9	3.7499969494092513e-07	1.03396831181281e-05	-5.000000307120445e-07	8.46523967494367e-06	2.8749999850674614e-06	9.055064154294779e-06	-1.6249999849549113e-06	7.781294753244065e-06	-1.249999957764203e-06	8.579391016919983e-06	-4.955314375000001	0.04967878064414746	0.0	0.0	-15.50724787500019	1.003419429326184	33.28170700000015	1.0261159891095657	-39.099774750000016	0.6423634502336487	31.59285387500006	1.1294572499096684	-6.081950791799998	0.06990055629895826	-26.280630125000325	0.821673245030512	-29.096119666800206	0.8643022757953167
g10	g10	-2.4999996639962773e-07	9.63021587964726e-06	7.500000047855337e-07	8.264438896988061e-06	1.7500000299719432e-06	6.19117683708769e-06	5.000000152932671e-07	6.715601075867317e-06	1.3750000026391264e-06	8.14373752808989e-06	-5.220543625	0.10057696614248049	0.0	0.0	-23.005127499999958	4.696085274748674	38.188601624999954	4.7860750466791036	-40.274482749999976	1.259772831134284	34.78053199999994	4.580935970080992	-6.1736558859000015	0.15146963150986778	-30.31154812499988	1.2018730627337046	-34.67273001089999	1.257522927602766
g11	g11	4.12499989238313e-06	1.0960738030013915e-05	-3.2499999930735158e-06	1.0612595749587645e-05	1.374999991128334e-06	8.442052146279336e-06	2.5000000384522993e-07	7.392808007439666e-06	2.124999894448365e-06	1.0144459934137001e-05	-5.349618374999995	0.0650433183474087	0.0	0.0	-22.99257312500007	3.8554900609999447	37.37425875000001	3.580678431114004	-42.08340699999992	0.817775149884177	34.4881173749999	3.571632046723044	-6.418728996300001	0.07675468447689109	-33.05133512500008	0.7122270434492592	-37.006587121300115	0.7723312833268864
g12	g12	-1.2500004800131138e-07	8.062967169700475e-06	-2.499999976635081e-07	8.050054922887895e-06	-1.749999999560714e-06	8.638886086571585e-06	-1.1249999892015694e-06	9.444800378039252e-06	6.249999809426754e-07	9.681097912200206e-06	-5.545623999999998	0.07614237460068796	0.0	0.0	-24.12964187499988	3.549322646505281	38.869348124999924	3.5525283172833406	-43.13286750000006	1.0983810670471819	35.772126624999984	3.5536026327657004	-6.7589836623	0.10471461002772932	-33.938787874999925	0.9671445526626372	-38.249369037300156	1.1006917872433197
g13	g13	3.499999929772457e-06	8.348575848758658e-06	-1.3750000144341357e-06	8.10801305459357e-06	2.87499992452922e-06	6.722417188554863e-06	1.3749999953915904e-06	8.798910586297563e-06	-2.3750000953270955e-06	7.716712206260432e-06	-5.042281749999999	0.04486377894373725	0.0	0.0	-74.10367225000093	9.24468146262791	84.439068625	8.98199949621469	-36.95024124999999	1.0905846431199713	86.5476675	8.453016040898259	-6.455202168599997	0.14122217452381744	-31.657122625000166	1.6488400937807057	-30.961444168600018	2.081423834718289
g14	g14	1.249998865660018e-07	1.1816855146477623e-05	-6.250000170382464e-07	8.719749494778958e-06	1.6250000048501078e-06	8.535009232249595e-06	-3.750000016822241e-07	1.0655010157791013e-05	-1.7499999339065652e-06	7.3554012992659265e-06	-4.862152625	0.0408464046216621	0.0	0.0	-78.0632195000003	10.618243645351448	87.33273512500008	9.548064545001589	-36.43822837499992	1.5463209503682225	88.82675837500003	9.145944939154347	-6.284425920300002	0.2339479297557932	-32.030866375000144	2.4792977022644807	-31.95911642029992	3.200040066531609
g15	g15	-2.0000000813524823e-06	1.0677289269761684e-05	-2.499999982319423e-06	9.833605448550492e-06	-1.1249999791118626e-06	8.7040327927689e-06	-7.500000026539055e-07	9.226861286729006e-06	1.499999967364829e-06	1.012140981962479e-05	-4.844899999999998	0.04537258128157806	0.0	0.0	-79.55585237500014	13.608422568717035	88.15630275	12.386743277850705	-36.95484912499999	2.0339277818951915	89.19059575	11.66781236431815	-6.247135323899999	0.30071128621273996	-33.19930362499998	3.105181064529007	-33.56724594889988	4.172826232305621
g16	g16	9.999997655540939e-07	7.844429639510017e-06	-4.125000003796231e-06	1.0507775463568157e-05	-3.124999996089173e-06	9.39101423585654e-06	7.499999878746167e-07	8.897392611002187e-06	7.500000360494141e-07	8.873047057553354e-06	-5.048490874999997	0.0738917843361517	0.0	0.0	-18.683591750000488	3.9971497512498226	36.31909437500001	3.3622905727099326	-39.45985299999996	1.3155475088221928	32.28593987500001	3.5939491493222535	-5.9097043845	0.08286791239996108	-26.872846000000028	1.0522503083739774	-31.767214009499767	1.2694490487162529
m1	m1	-7.500005909832907e-07	8.61945916238746e-06	7.500000262439243e-07	7.77212585098009e-06	-7.500000045013167e-07	9.368741996595465e-06	2.0000000124653637e-06	8.458737525668407e-06	-1.6249998795814235e-06	7.183125784277126e-06	-2.918139125000002	0.025193807620973906	0.0	0.0	-13.224538875000684	0.9670522202596245	29.14094912499996	0.8809168728758738	-26.172958874999996	0.6043331489417221	22.587399500000128	0.9100326210338119	-4.006269153000002	0.04765764723408999	-13.174688125000047	0.711021788838711	-20.816367777999943	0.6593737832881789
m2	m2	1.000000561930392e-06	7.748100565065962e-06	-4.249999989980324e-06	1.1180577956333775e-05	3.750000747970716e-07	1.0625306242473906e-05	-9.999999733523168e-07	7.269588522034397e-06	-1.374999925403131e-06	8.577880894850208e-06	-1.7095199999999977	0.4157630207312707	0.0	0.0	-167.34689662499966	38.45585910800092	147.28901887499987	34.71660265593484	8.65953625000002	2.5555043289463475	166.260531625	40.931544952403094	-1.7117140797000012	0.44155583890734257	-13.107866750000005	4.285589695883194	5.861451920299873	7.3202406004908385
m3	m3	-1.6882495401659982e-13	9.68053760224264e-06	-3.249999990799779e-06	6.155108180584979e-06	-3.75000095402811e-07	7.566182433644492e-06	1.4999999805098695e-06	9.433834387371915e-06	1.2500004274329512e-07	7.371042507652449e-06	-2.7318560000000023	0.48986822721054424	0.0	0.0	-107.08608675000019	36.704665813779116	102.379194625	31.673428704194357	2.119591124999996	4.046334678418099	114.25840437499991	32.795695797886886	-2.699909298900002	0.5572604327604547	-5.319158999999917	4.456504600294329	6.5919974510999735	6.5367902687658175
m10	m10	1.125000049881919e-06	1.0489050584156791e-05	2.4999997364716366e-07	6.958561386724507e-06	-2.1250000207828635e-06	6.778391549795707e-06	-1.2500000033099923e-06	8.524249416808043e-06	2.6250001442917893e-06	1.070012112151006e-05	-2.4326665000000025	0.5542880702714222	0.0	0.0	-193.2512233749999	56.83569176505794	181.59851324999997	51.50919700400487	9.611978499999994	3.8764311855678204	220.82458499999987	53.09151441509484	-2.4916705425000027	0.5914368988522793	-4.473397499999932	8.05877532487452	34.693670207500006	11.779920378657364
